user_id,item_id,timestamp
32,27,870267583
24,84,876141696
64,59,886014096
48,42,899817965
19,4,895917658
38,51,896500732
44,27,876232951
89,13,879383310
52,69,889098490
49,25,892498229
58,18,885605875
47,45,889215165
54,44,893253132
22,15,874006294
72,40,874968797
93,48,888135435
53,73,872461925
27,44,898109664
12,58,895093667
71,92,879497194
17,65,883904711
68,95,881474135
83,3,889750231
38,36,887364757
46,97,888274986
87,47,893503419
91,99,879696194
59,85,878633158
72,73,889959133
57,9,897263646
1,59,883200719
74,51,899240035
63,100,896430178
71,90,896648413
100,42,890071713
10,31,898483063
33,68,895596008
31,93,887753407
75,36,893211340
22,51,875043086
62,22,875515058
5,76,870495028
88,45,893450484
40,57,877836457
48,41,895183989
96,26,876801888
16,83,877251829
60,65,883005784
72,93,890317164
30,62,880226549
27,94,886210247
32,64,894479669
52,24,874571551
95,13,876073276
73,6,889700856
96,34,897502441
18,18,888893849
38,39,894741357
91,52,874723176
48,47,897735430
35,16,895600283
94,7,892270206
33,47,882644126
70,27,896753232
30,99,871888762
70,93,873476307
99,78,895865815
29,40,873805237
27,65,889699086
80,10,879156448
44,10,870660269
27,66,875497901
96,31,890050939
55,59,888038646
89,54,893506130
17,71,890903205
38,40,871149038
13,80,891283786
62,75,898335883
71,14,872976753
51,80,883405922
32,13,875530026
38,30,881359581
10,59,887841921
79,49,880279502
68,2,896283511
79,99,898165524
19,49,882046090
74,20,895004147
15,45,891776084
36,18,896217478
32,72,872472908
97,26,878954816
1,23,874338428
15,15,886066165
82,16,880044286
47,67,891995360
15,82,870248682
23,36,870298018
95,21,896730009
30,57,888424271
40,70,880658956
68,52,897730481
9,28,873386620
81,80,881308580
80,69,899962621
9,28,898371651
41,64,888697346
9,66,888949932
20,71,870914433
43,93,877702948
43,33,885480985
65,17,876745046
28,71,870309461
87,67,873241138
56,86,889926056
55,48,879709253
66,22,887005659
34,31,881984983
51,58,894506504
95,87,878470430
14,34,882663646
84,10,885537391
61,79,888275373
93,26,872344888
50,9,876504858
65,66,882349102
3,63,896157337
17,42,877147911
58,12,870581260
15,63,888188477
39,48,896179967
73,33,888072986
1,48,896897948
15,65,886035062
95,12,898435984
89,85,881599537
78,35,878222100
48,4,887704387
69,25,882490955
8,61,874953218
52,75,885123098
65,92,887033545
52,26,876930865
10,91,893152277
95,13,890805138
42,45,884630080
46,94,891447601
43,32,873089372
52,62,894163377
90,3,883861551
3,3,875523891
49,18,889924432
2,49,878735641
22,15,874717626
79,93,885071076
13,53,896949941
96,83,880001616
18,21,895246923
36,69,878626607
90,97,890828629
63,100,885332187
60,35,896480532
51,16,883376739
54,86,870100965
57,55,875659823
63,29,871775185
78,61,883919462
74,27,888829788
10,18,871375929
71,81,882732585
78,30,887079641
32,58,874173222
37,10,890279255
60,47,892527815
37,36,896719066
51,48,892187561
92,39,885478032
93,33,873865587
96,34,895623383
89,27,882369729
50,97,874915265
77,82,898034349
75,22,898145226
36,54,880360290
20,31,880965535
59,85,890991912
69,3,873719391
92,90,874383064
54,17,890520114
68,53,876023375
68,46,890958729
86,66,874253503
45,46,882548358
79,69,884141232
59,30,885678063
62,45,889133185
37,21,878205796
26,66,885705542
52,6,887879255
3,23,881807448
13,98,886669860
26,50,898331895
21,88,883767377
40,96,886299719
59,22,875969558
95,20,895018657
47,94,894608327
40,43,896195869
96,32,898445375
33,23,878331141
38,46,895205007
49,94,891666888
97,42,895332179
90,88,891808077
85,46,879050665
68,42,885992842
29,27,899804735
27,45,890665171
65,12,888478389
93,100,883054926
15,5,870414289
39,27,897896986
58,84,894604075
98,75,880862935
33,40,887103709
27,34,881090828
12,69,885565342
1,82,877671162
87,63,885385221
54,68,899310964
6,65,881139833
77,34,874495426
9,97,887311886
84,6,893423328
47,81,891008933
37,63,889264025
39,77,876125109
76,19,893284350
95,85,881216114
83,26,899579806
41,24,889265316
3,32,883422964
22,76,881013260
97,16,894287947
70,51,871364629
93,96,874764719
11,6,879773814
44,32,884358740
65,11,897909105
16,6,888235628
7,33,873921908
71,17,875579755
34,49,895083172
55,44,878751928
68,42,899675183
22,95,889850659
99,14,881440016
45,24,878110597
69,84,893395378
7,19,886567890
9,78,887143771
86,88,898517066
75,53,876358104
70,14,895004142
55,59,891151688
52,23,871198123
84,29,898656174
28,27,878530265
18,78,889837762
64,18,874722421
91,14,887963329
76,62,874848463
68,24,878730557
87,30,880054171
26,6,895962948
61,18,889624845
52,95,889381832
70,21,896637062
29,54,881935820
77,87,878983966
68,11,899239489
54,31,879557043
41,99,874850688
8,79,878496751
67,74,877485585
1,88,876902548
58,14,870721367
10,38,888680791
46,43,871272053
48,3,881440206
37,17,892218018
79,12,897964272
19,25,887607111
83,84,874285286
40,68,876311663
93,73,890044873
16,90,888572339
71,1,876529367
70,48,873639414
86,35,891925910
37,91,897486708
27,30,870880532
61,90,878718555
84,83,888586422
11,17,897264813
91,65,894187881
66,27,873501576
99,62,883990197
22,3,874922133
12,17,876293802
41,29,872694632
75,44,888110053
75,33,870543511
68,78,873566997
5,94,878831790
15,83,892420130
64,48,874432995
17,69,880058851
99,65,894644389
65,52,885083031
99,76,878232884
1,57,875882223
48,17,880618046
20,72,891367679
76,98,876553331
25,3,871931364
67,67,880761797
100,66,877829078
68,57,878130867
79,80,881107293
28,13,883638645
54,75,874829326
21,78,896228605
8,60,871068297
73,53,876706172
65,83,891576675
13,13,885802267
99,14,890710372
24,16,897853935
57,5,878675964
70,36,873721018
96,65,894201378
42,2,872904882
90,35,877914605
61,10,878560863
94,1,872784609
12,40,871204556
4,28,882307919
75,90,891756730
11,22,890207053
81,21,899684825
86,59,876375434
94,28,873773523
20,92,889577910
37,82,881875614
45,68,890977525
84,44,880155928
91,98,899554660
44,34,880503900
95,35,888264386
21,93,870404512
41,85,889357338
35,58,876385603
96,15,898605758
1,86,893679747
62,26,893656652
83,78,875087710
55,21,898944800
18,10,897396081
13,66,895056410
95,71,896995888
98,21,881745801
72,60,870855929
100,16,880169687
93,22,884410599
41,27,896197148
12,95,877084770
65,75,898586384
72,18,898554733
57,19,896474175
86,54,883501359
11,24,883640938
48,76,887576133
14,80,883942511
36,5,881421907
18,69,898162290
12,34,887021563
28,69,873004476
9,44,878460745
8,85,892558843
15,43,891721726
23,99,881092107
30,91,884700020
41,71,887389733
65,32,890198206
82,94,887616946
34,68,878777123
36,11,876031163
55,27,885373543
85,81,872288185
32,58,889890982
57,93,887875528
76,42,893958132
28,63,878973927
22,20,888745115
96,96,888690504
12,86,892144440
41,38,874079389
36,53,899256619
53,69,875223421
13,79,882590139
34,93,883105437
47,66,883297747
30,23,882212688
3,79,871633752
41,54,899307168
95,47,873665432
36,78,878136296
68,99,871105993
86,38,883454812
92,72,886190380
68,50,887060099
100,96,889500898
66,22,891402832
70,58,893824320
95,21,890542057
18,39,870299946
93,87,883513311
34,41,890707865
16,77,890403392
56,10,892462945
34,97,886469455
80,75,887135690
9,51,870937054
1,35,876719435
95,19,883206615
24,97,898796293
78,63,888301322
46,71,899087472
39,95,875347053
44,74,888123666
50,91,893027665
24,40,882135759
54,41,889106798
40,51,876679355
44,8,883307180
13,35,883722021
98,21,879599490
72,61,896136567
22,73,893182644
47,62,886274429
29,99,894187836
83,35,896181746
52,18,883871568
54,35,873159068
86,51,881655803
87,83,897130931
17,54,885938751
39,50,896021573
32,93,882487224
69,51,891281953
16,57,897872469
38,2,876608850
92,3,887412165
79,82,886968548
11,65,895436383
51,27,879022631
5,16,889863781
26,58,888222541
49,42,873210016
90,39,880250148
81,96,872046596
15,71,876528849
11,92,888048559
25,7,894217740
78,16,876816878
42,54,895061412
23,83,878242182
52,52,893552668
18,97,893951466
100,64,873620697
42,6,899361597
87,5,889305264
87,85,889170408
70,15,887816223
57,50,888892855
38,84,886768596
92,85,880856979
82,60,871829347
43,56,883460254
59,48,890816641
26,51,888650123
84,13,899351852
19,46,887674181
57,76,898547840
93,89,888138048
89,71,875285798
16,69,876335307
13,81,872423223
49,58,882086628
69,46,882090007
69,19,899445180
92,22,887368490
51,80,899412431
78,54,884457494
66,82,894892759
14,10,888744816
100,37,875736282
38,87,875999183
91,68,884731110
6,42,894458845
62,5,894649400
55,1,879092183
98,38,898898565
86,11,887760810
16,6,895221970
3,26,885933438
72,72,873781303
89,82,879160897
87,94,898750383
2,71,894699705
82,55,881669066
22,5,880396392
52,76,882054436
13,49,897261799
19,31,882206427
71,84,880633140
89,81,899733570
86,57,889772980
88,36,895907517
40,45,884234605
45,50,895320721
39,54,894733089
38,78,877147918
81,54,878278572
19,57,879668369
99,21,883252903
98,52,890642021
28,31,888235453
46,78,887300995
69,73,882952408
91,90,882300615
25,31,894812770
79,36,885895312
54,42,894177564
88,54,886336329
56,27,897041790
8,81,888124273
46,10,899130987
57,38,872485185
79,20,877654951
38,90,880761487
84,74,876520169
93,65,881700547
22,8,898858555
29,39,882614228
14,94,879954610
25,79,898667389
82,84,881991775
25,78,899980703
54,39,895511155
86,86,892632989
61,67,896427559
85,4,875038325
1,15,897012189
76,20,887830626
99,26,871194201
45,67,893131659
72,35,870419768
47,84,897510532
92,50,892476687
47,100,876267095
90,48,870708353
60,99,871155532
30,59,891471371
35,12,889724299
27,64,883662247
38,74,877003766
41,5,891736948
49,6,893650600
71,66,870470136
85,96,895265140
80,67,897362332
59,52,894498006
61,50,870719170
95,88,878179002
51,94,874280607
92,29,883535347
78,4,877889419
93,87,883131508
6,20,886876190
64,6,888476953
43,52,875827445
63,29,874642241
15,95,885251320
6,99,887444996
66,21,891969858
77,27,896046769
88,14,895311843
83,100,885200508
95,56,894696372
61,74,890799659
61,81,881184436
12,25,884060747
37,44,892473451
58,60,885028179
90,63,891720263
72,72,883231149
1,42,885355919
16,83,891690731
73,57,890889380
72,71,899939046
43,47,889371829
18,95,890393384
3,11,872768628
68,53,895841560
95,65,878714702
38,48,872558585
67,5,899821444
8,40,890033920
75,55,895321216
40,60,877121522
83,22,872682974
38,65,899573988
19,4,872093699
91,12,875510828
4,83,892058677
36,90,892397272
31,78,873840204
5,29,880505977
7,71,888185351
23,43,895613316
51,40,876840689
85,56,897359015
30,24,879788155
19,73,878818808
5,51,882390769
50,79,893280589
46,76,886531178
14,54,871237673
24,10,871860050
59,39,891863588
17,87,896151689
31,41,877968994
48,35,889465956
78,35,890597316
16,79,895327875
8,31,882457343
61,98,896842534
92,34,871141696
21,55,883401054
94,100,887874803
87,31,890160788
50,15,892149366
21,4,897222604
85,21,891238208
65,67,876472993
60,2,876668294
91,40,888482168
23,86,881193739
14,30,877194305
8,50,886980068
73,59,875595970
34,3,896387933
3,28,899225927
20,62,870739889
93,50,878279751
8,80,871288118
34,59,898563656
46,88,881031091
44,58,897429616
28,21,884986377
45,47,872071608
